Sample,Method,0,1,2,3,4,5,6,7
7d,Gauss,0.86,0.8,0.82,0.84,0.83,0.79,0.84,0.84
7d,KDE,0.88(2),0.79(2),0.80(8),0.86(3),0.85(1),0.83(3),0.85(1),0.86(1)
7d,SNA,0.86(6),0.84(13),0.83(8),0.85(7),0.84(6),0.84(7),0.84(8),0.85(7)
12d,Gauss,0.57,0.55,0.54,0.55,0.54,0.54,0.54,0.55
12d,KDE,0.59(4),0.61(7),0.61(4),0.54(1),0.56(11),0.56(5),0.56(2),0.57(1)
12d,SNA,0.58(8),0.54(8),0.54(9),0.54(9),0.53(8),0.53(8),0.54(8),0.54(8)
17d,Gauss,0.29,0.27,0.26,0.27,0.27,0.27,0.26,0.27
17d,KDE,0.31(4),0.27(3),0.25(1),0.26(1),0.29(1),0.29(1),0.24(1),0.27(1)
17d,SNA,0.28(8),0.26(5),0.25(6),0.26(6),0.27(6),0.27(6),0.25(7),0.26(5)
22d,Gauss,0.12,0.12,0.1,0.1,0.09,0.11,0.1,0.11
22d,KDE,0.11(1),0.11(0),0.09(1),0.09(1),0.08(2),0.11(1),0.11(1),0.08(1)
22d,SNA,0.10(7),0.11(6),0.08(8),0.08(7),0.07(8),0.10(4),0.07(9),0.07(7)
27d,Gauss,0.08,0.09,0.07,0.07,0.07,0.08,0.07,0.07
27d,KDE,0.08(0),0.08(1),0.07(0),0.07(0),0.07(0),0.07(1),0.07(0),0.07(0)
27d,SNA,0.08(2),0.08(3),0.07(3),0.07(3),0.07(3),0.07(3),0.06(4),0.07(3)